neg	"@jamielewislewis i cant believe it, it really doesnt belong there! i hope it doesnt ruin it  im not too bad thanks!hows life treatin you?x"
pos	"having a vodka tonic and looking forward to going to Saddle Ranch at the Westgate with the husband, sans kiddos "
pos	@ddlovatofans1neg1 Could you follow me please.I would really appreciate it. 
pos	@jordanknight for once.................. PLEASE TELL US WHY u were thinking of this person?!? 
neg	Had a dream about a walk in fast food resturaunt that sold ice cream and guitar strings.They were sold out of 12gauge 
pos	@TroyBrownBBNews Yes... For a &quot;friend&quot; 
pos	Packing for work expierance 
neg	hates @internet @explrer (angry)(angry) **but no choice**  http://plurk.com/p/rqqi5
neg	@federalcase  I said I go out for eat 5:negneg p.m.  I disappointed you.
neg	@babykates7 yeah they won't do the surgery till the cold is gone...poor thing still has runny eyes 
pos	@BritRuxpin. I say answering with no pants. 
neg	"Am in the place called negUT OF NOW WHERE!! Take me out from here, somebody  http://myloc.me/1XRI"
neg	"3am, still up.. flying to LA ltr 8am..hayyy sleep deprived again "
neg	"2 down, 8 to go...looks like i wont be getting out early "
neg	It's Increible How Someone Forgot U Soo Fast! 
neg	"That little girl holly!  find some time! Aw, she'll get loads of votes now I bet!"
neg	Aapko huyi asuvidha ke liye hume khed hay Train 3neg minutes late 
neg	"@brightondoll ugh, me too. 3:pos5 and going strong! I just spent like, 3 hours playing rollercoaster tycoon but now I'm bored again. "
neg	Will be back when I think everyone is up 
pos	"&quot;so we keep waitin, waitin , waitin on the world to change&quot; - john mayer "
neg	@carposdave sinus infection.    the whole left side of my face hurts.
neg	@twilighterNY I've seen the pics but only on my phone. I wanna be on my COMPUTER. im in rehab 
neg	"@Streyeder I wish I had time or extracurricular workout, but I've barely been to d gym pos times in last 1neg days "
pos	"@ms_cornwall night you, may your dreams be wonderful "
pos	Star Wars: Old Republic: http://digg.com/d1sgupos and it maybe coming to the PS3 and eggbox: http://digg.com/u1poscY2 
pos	You could be my punk rock princess 
neg	"@YukiB Iknow, I am just jealous and hate to be cold in June "
pos	19 more sleeps untill Take That ahhhhhhhhhhhhhhh 
pos	aaaw! my moms crying. She loved the mixed tape i gave her 
neg	@Velf79 Missed you last night hon 
pos	Morning y'all. Looking forward to a nice BBQ today. Can everyone follow @RebeccaMasters please? 
pos	"Feeling happy! Happy Happy! Think i inspired ppl today thro my sermon. Mashallah, Alhamdulillah! Happiness all around! Bring on the Ajr! "
neg	@carolemoyes @trimmtrab real tea makes me poorly  i drink fruit tea or coffee x
pos	Started faffing around with photography and web design again  http://www.lightsondoorsopen.co.uk
pos	eating!! mmmm delicious! 
pos	okay glowing screens are forcing my eyes to close... my official -&gt; goodnight tweets  yep @ 2:21am
neg	@Jzakoni i will twitter about it. i dont have much friends though  im not ::sigh:: popular 
pos	@paulcargill thanks  xxx
pos	@bluefirebug Love cupcakes too. We also dig Johnny Cupcakes. 
neg	"Going to get fertilizer, instead of a movie.   Oh the joys of farm life! Can I get an amen Travis?"
pos	"Sawdust in my hair, ears, crack... Everywhere! Now for a ride "
neg	i want to apply for a job to write at cracked but i don't think i'm funny enough. weird maybe but not funny 
